dt1,dt2,l1,l2,r1,r2,t1,t2,th1,th2,v1,v2,x1,x2,xm1,xm2,y1,y2,ym1,ym2,eSpeed1,eSpeed2,pwm1,pwm2,vCtrl1,vCtrl2,xKalman1,yKalman1,xKalman2,yKalman2,xPred1,yPred1,xPred2,yPred2,state1,state2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,750,0,0,1.834,0.884,1.825,1.234,1.834,0.884,1.825,1.234,init,init
0.03,0.03,3.9655,4.3135,1,1,9,9,450,450,0,0,1.835,1.835,1.834,1.827,0.884,1.232,0.884,1.232,0,0.009,750,752.25,0,0.009,1.834,0.884,1.827,1.232,1.834,0.884,1.825,1.234,wait,accl
0.06,0.06,3.9655,4.3155,1,1,9,9,450,450,0,0,1.835,1.835,1.834,1.825,0.884,1.234,0.884,1.234,0,0.009,750,754.5,0,0.018,1.834,0.884,1.825,1.234,1.834,0.884,1.825,1.234,wait,accl
0.09,0.09,3.9655,4.3155,1,1,9,9,450,450,0,0,1.835,1.835,1.834,1.825,0.884,1.234,0.884,1.234,0,0.009,750,756.75,0,0.027,1.834,0.884,1.825,1.234,1.834,0.884,1.825,1.234,wait,accl
0.12,0.12,3.9655,4.3155,1,1,9,9,450,450,0,0,1.835,1.835,1.834,1.825,0.884,1.234,0.884,1.234,0,0.009,750,759,0,0.036,1.834,0.884,1.825,1.234,1.834,0.884,1.825,1.234,wait,accl
0.15,0.15,3.9658,4.3157,1,1,9,9,450,450,0,0.03,1.835,1.835,1.832,1.825,0.88431,1.2341,0.884,1.234,0,0.009,750,761.25,0,0.045,1.8323,0.88431,1.8251,1.2341,1.834,0.884,1.825,1.2349,wait,accl
0.18,0.18,3.9656,4.3341,1,1,9,9,450,450,0,0.04,1.835,1.835,1.832,1.826,0.8841,1.2526,0.884,1.256,0,0.009,750,763.5,0,0.054,1.8321,0.8841,1.8226,1.2526,1.834,0.884,1.825,1.2361,wait,accl
0.21,0.21,3.9656,4.3367,1,1,9,9,450,450,0,0.04,1.835,1.835,1.832,1.826,0.88403,1.2551,0.884,1.256,0,0.009,750,765.75,0,0.063,1.832,0.88403,1.8251,1.2551,1.834,0.884,1.825,1.2373,wait,accl
0.24,0.24,3.9655,4.3374,1,1,9,9,450,450,0,0.04,1.835,1.835,1.832,1.826,0.88401,1.2559,0.884,1.256,0,0.009,750,768,0,0.072,1.832,0.88401,1.8259,1.2559,1.834,0.884,1.825,1.2385,wait,accl
0.27,0.27,3.9662,4.3378,1,10,9,9,450,450,0,0.06,1.835,1.835,1.833,1.826,0.88469,1.2563,0.885,1.256,0,0.009,750,770.25,0,0.081,1.8327,0.88469,1.8263,1.2563,1.834,0.884,1.825,1.2403,wait,accl
0.3,0.3,3.9664,4.4038,1,10,9,9,450,450,0,0.06,1.835,1.835,1.833,1.825,0.8849,1.3223,0.885,1.334,0,0.009,750,772.5,0,0.09,1.8329,0.8849,1.8133,1.3223,1.834,0.884,1.825,1.2421,wait,accl
0.33,0.33,3.9665,4.4121,1,10,9,9,450,450,0,0.06,1.835,1.835,1.833,1.825,0.88497,1.3306,0.885,1.334,0,0.009,750,774.75,0,0.099,1.833,0.88497,1.8216,1.3306,1.834,0.884,1.825,1.2439,wait,accl
0.36,0.36,3.9667,4.4147,1,10,9,9,450,450,0,0.06,1.835,1.835,1.832,1.825,0.88515,1.3332,0.885,1.334,0,0.009,750,777,0,0.108,1.8321,0.88515,1.8242,1.3332,1.834,0.884,1.825,1.2457,wait,accl
0.39,0.38,3.9666,4.4154,1,11,9,9,450,450,0,0.03,1.835,1.835,1.832,1.825,0.88505,1.3338,0.885,1.334,0,0.006,750,778.5,0,0.114,1.832,0.88505,1.8248,1.3338,1.834,0.884,1.825,1.2463,wait,accl
0.42,0.41,3.9665,4.5203,1,11,9,9,450,450,0,0.03,1.835,1.835,1.832,1.801,0.88502,1.4387,0.885,1.454,0,0.009,750,780.75,0,0.123,1.832,0.88502,1.7857,1.4387,1.834,0.884,1.825,1.2472,wait,accl
0.45,0.44,3.9665,4.5308,1,11,9,9,450,450,0,0.02,1.835,1.835,1.832,1.801,0.88501,1.4493,0.885,1.454,0,0.009,750,783,0,0.132,1.832,0.88501,1.7963,1.4493,1.834,0.884,1.825,1.2478,wait,accl
0.48,0.47,3.9665,4.5341,1,11,9,9,450,450,0,0.02,1.835,1.835,1.832,1.801,0.885,1.4526,0.885,1.454,0,0.009,750,785.25,0,0.141,1.832,0.885,1.7996,1.4526,1.834,0.884,1.825,1.2484,wait,accl
0.51,0.5,3.9665,4.5352,1,11,9,9,450,450,0,0.02,1.835,1.835,1.832,1.801,0.885,1.4537,0.885,1.454,0,0.009,750,787.5,0,0.15,1.832,0.885,1.8007,1.4537,1.834,0.884,1.825,1.249,wait,accl
0.54,0.53,3.9665,4.5355,1,12,9,9,450,450,0,0.02,1.835,1.835,1.832,1.801,0.885,1.454,0.885,1.454,0,0.009,750,789.75,0,0.159,1.832,0.885,1.801,1.454,1.834,0.884,1.825,1.2496,wait,accl
0.57,0.56,3.9665,4.5356,1,12,9,9,450,450,0,0.02,1.835,1.835,1.832,1.801,0.885,1.4541,0.885,1.454,0,0.009,750,792,0,0.168,1.832,0.885,1.8011,1.4541,1.834,0.884,1.825,1.2502,wait,accl
0.6,0.59,3.9665,4.5356,1,12,9,9,450,450,0,0.02,1.835,1.835,1.832,1.801,0.885,1.4541,0.885,1.454,0,0.009,750,794.25,0,0.177,1.832,0.885,1.8011,1.4541,1.834,0.884,1.825,1.2508,wait,accl
0.63,0.62,3.9665,5.0138,1,12,9,11,450,155.41,0,0.02,1.835,1.5954,1.832,1.607,0.885,1.8236,0.885,1.722,0,-0.0225,750,788.63,0,0.1545,1.832,0.885,1.5954,1.7104,1.834,0.884,1.8245,1.251,wait,brak
0.66,0.65,3.9665,5.0058,1,12,9,11,450,155.41,0,0.02,1.835,1.6033,1.832,1.607,0.885,1.8213,0.885,1.722,0,-0.0225,750,783,0,0.132,1.832,0.885,1.6033,1.7183,1.834,0.884,1.8239,1.2513,wait,brak
0.69,0.68,3.9665,5.0035,1,12,9,11,450,155.41,0,0.08,1.835,1.6057,1.832,1.607,0.885,1.8206,0.885,1.722,0,-0.0225,750,777.38,0,0.1095,1.832,0.885,1.6057,1.7207,1.834,0.884,1.8217,1.2523,wait,brak
0.72,0.71,3.9665,5.1913,1,12,9,12,450,540,0,0.12,1.835,1.4207,1.832,1.401,0.885,1.835,0.885,1.796,0,-0.0225,750,771.75,0,0.087,1.832,0.885,1.4207,1.8157,1.834,0.884,1.8181,1.2523,wait,brak
0.75,0.74,3.9665,5.2054,1,12,9,12,450,540,0,0.12,1.835,1.4066,1.832,1.401,0.885,1.835,0.885,1.796,0,-0.0225,750,766.13,0,0.0645,1.832,0.885,1.4066,1.8016,1.834,0.884,1.8145,1.2523,wait,brak
